'Imei','InternalName','DID','LID','Firmware','Modem','Operator','Country','FID','Latitude','Longitude','TimeZone','Age','NumFirstConnect','CatFirstConnectEqual','CatFirstConnectExtreme'
'68d4934f5f3636534eac08e95a4617f7','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','554','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','980','2.0','muy bajo','bajo'
'53dd0fa344279d7464c51e84ca351b83','ATLAS_2G_SPB','6','28','0.2.33V11','M66FBR03A08','','France','2366','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Paris','373','3.0','muy bajo','bajo'
'595d36df103446df4c862431fac42998','Atlas 2','2','5','0.0.60','BC66NBR01A10','Movistar','Spain','763','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','1218','7.0','alto','bajo'
'cf2d48b22ffbd13acbe3967cdc76f817','ATLAS_2SPB','2','16','0.1.34V11','BC66NBR01A11','Movistar','Spain','2284','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','608','5.0','bajo','bajo'
'7445e36997a5e18346453634e410bb41','ATLAS_2G_SPB','1','38','0.2.40V12','M66FCR01A02BT','Vodafone','Italy','775','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Rome','0','1.0','muy bajo','bajo'
'a0f0061a6e3f1e57ecbd07d3791486d6','ATLAS_2SPB','21','25','0.1.37V11','BC66NBR01A11','Vodafone','Switzerland','3172','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Zurich','187','4.0','muy bajo','bajo'
'2ca826e59bd3eb0f489600e8efdbf069','ATLAS_2G_SPB','47','18','0.2.34V11','M66FCR01A02BT','Movistar','Portugal','2178','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','465','2.0','muy bajo','bajo'
'183a4a83a6b80437af855f7db227cb0c','Atlas 2','2','6','0.0.60','BC66NBR01A10','1nce','Spain','308','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Madrid','525','2.0','muy bajo','bajo'
'9798b814c71026720b9b58f6b4f8e189','ATLAS_2SPB','29','12','0.1.37V11','BC66NBR01A11','Vodafone','Spain','736','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','133','48.0','muy alto','bajo'
'074aecab16411480ff4b27de3bf8fa43','ATLAS_2SP','1','7','0.1.17','BC66NBR01A11','Vodafone','Germany','904','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','1042','7.0','alto','bajo'
'd37aa7b79c418d7141e8e92631491160','ATLAS_2G_SPB','2','22','0.2.37V11','M66FCR01A02BT','Movistar','Spain','2486','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','470','12.0','muy alto','bajo'
'198dc488f7f16dbcd9081a2a10abb71d','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','2220','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','605','6.0','alto','bajo'
'6dac2a8ffebfa5b036aa3ed02f92ce56','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','817','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','698','3.0','muy bajo','bajo'
'1ef9ec0acf9fd3a1e41980ab8b9c0cba','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','1274','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Madrid','314','6.0','alto','bajo'
'b7f55e5ea91326a9884fa98c11e82108','Atlas 2','1','2','0.0.43','BC66NBR01A10','Vodafone','Germany','565','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','359','6.0','alto','bajo'
'a09f8464901a3603b5e3c211f00c76f1','ATLAS_2S','8','7','0.1.15','BC66NBR01A11','Vodafone','Spain','2148','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','560','10.0','alto','bajo'
'430b24e1aa62dffb951662d8afc0aff2','ATLAS_2SPB','2','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','3277','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','266','5.0','bajo','bajo'
'9a10d3ad2ae9f66a8105a2347852ecd7','ATLAS_2SPB','2','35','0.1.37V11','BC66NBR01A11','Movistar','Spain','3633','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','159','15.0','muy alto','bajo'
'1132f0ff7c4ed1986bd98354d44cbb4a','Atlas 2','1','2','0.0.43','BC66NBR01A10','Vodafone','Germany','3304','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','330','5.0','bajo','bajo'
'9e3d6fd21b6859f3adb2281de44b6a2c','ATLAS_2SPB','2','16','0.1.34V11','BC66NBR01A11','Vodafone','Spain','2181','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','475','192.0','muy alto','alto'
'7097f6d94168503308694494a459788c','ATLAS_2SPB','2','16','0.1.34V11','BC66NBR01A11','Vodafone','Spain','2277','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','610','4.0','muy bajo','bajo'
'58a173c1853002d1860341593a366a6d','ATLAS_2SPB','2','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','906','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Madrid','148','3.0','muy bajo','bajo'
'dbf56ef2084cac59033091f755350ee1','ATLAS_2S','5','7','0.1.15','BC66NBR01A11','Vodafone','United Kingdom','1794','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/London','869','8.0','alto','bajo'
'6aeca829489fdaa4b6b4a3f0e10dec74','ATLAS_2SPB','47','25','0.1.37V11','BC66NBR01A11','Vodafone','Portugal','3106','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','310','3.0','muy bajo','bajo'
'588a0ad3a0d16d652602f5acbfffb042','ATLAS_2SPB','2','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','128','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Madrid','296','182.0','muy alto','alto'
'827fc1c6cf0436cda665bf0aff038c4d','ATLAS_2SPB','2','29','0.1.37V11','BC66NBR01A11','Movistar','Spain','3393','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','243','6.0','alto','bajo'
'b65acc00128b1178247e0f54ce3f8b07','ATLAS_2G_SPB','2','22','0.2.36V11','M66FCR01A02BT','Movistar','Spain','2256','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','618','3.0','muy bajo','bajo'
'c05c42d7427f3eafb450da39ad057ce6','ATLAS_2SPB','2','15','0.1.37V11','BC66NBR01A11','Movistar','Spain','2866','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','384','10.0','alto','bajo'
'd65ee018c9b1cdbcb2c96e0bba4eda2a','ATLAS_2SP','1','7','0.1.17','BC66NBR01A11','Vodafone','Germany','904','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','1004','9.0','alto','bajo'
'becd4b8d4f08ac3340f44e86bdb3448d','Atlas 2','2','2','0.0.60','BC66NBR01A10','Vodafone','Spain','1268','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','975','8.0','alto','bajo'
'dfba23611e92fd86ffdcc99641cfc611','ATLAS_2SP','1','7','0.1.17','BC66NBR01A11','Vodafone','Germany','904','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','1039','15.0','muy alto','bajo'
'823acb74d04b5f0329808afd2c258cc4','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','3399','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','258','3.0','muy bajo','bajo'
'e415755ff05c0c844d50ad092edc8dab','ATLAS_2SPB','1','27','0.1.36V11','BC66NBR01A11','Vodafone','Switzerland','2473','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Zurich','497','20.0','muy alto','bajo'
'd28a777d4eaf043310a5ba2af93e2e84','ATLAS_2SPB','2','29','0.1.37V11','BC66NBR01A11','Movistar','Spain','2391','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','283','5.0','bajo','bajo'
'a2b3d2957331eb32bf5c6e71ec1c4a1b','ATLAS_2SPB','47','25','0.1.37V11','BC66NBR01A11','Vodafone','Portugal','3478','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','73','3.0','muy bajo','bajo'
'f059bbca69ee51b7fcabdb84aa5657de','Atlas 2','18','6','0.0.68USA1','BC66NBR01A10','Vodafone','United States','841','Grupo3 (Zona Subtropical +)','Grupo B (America Central)','America/New_York','68','4.0','muy bajo','bajo'
'5580dcce633cf52b67348475b16a4ead','ATLAS_2SPB','2','35','0.1.37V11','BC66NBR01A11','Movistar','Spain','3521','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','200','5.0','bajo','bajo'
'19a9bc917dfb4f7ff17e20d6e731eb81','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','843','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','677','45.0','muy alto','bajo'
'a7734e774c97ce54274f33500eaa32ce','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','3398','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','244','4.0','muy bajo','bajo'
'd37ef475de0e646ac100654675ce9f33','ATLAS_2SPB','2','35','0.1.37V11','BC66NBR01A11','Movistar','Spain','2386','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','283','4.0','muy bajo','bajo'
'bef118dd89f60122c91d365f48c2a5b9','ATLAS_2G_SPB','17','33','0.2.36V11Tur','M66FCR01A03BT','VTurkey','Türkiye','2709','Grupo3 (Zona Subtropical +)','Grupo D (Europa / Africa Oeste)','Europe/Istanbul','155','3.0','muy bajo','bajo'
'54ca60aca7800d4609b718174fa80972','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','3873','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Madrid','99','4.0','muy bajo','bajo'
'575ecb057722d643dd9e99d31240ab59','ATLAS_2SPB','2','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','3390','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','137','5.0','bajo','bajo'
'70016cda560c14aadcb7fccc390283ee','ATLAS_2G_SPB','1','38','0.2.40V12','M66FCR01A03BT','Vodafone','Italy','3052','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Rome','283','3.0','muy bajo','bajo'
'96fe62294b1802b8fe959b69f634d1f2','ATLAS_2SPB','18','31','0.1.37V11USA','BC66NBR01A11','Vodafone','United States','3810','Grupo3 (Zona Subtropical +)','Grupo B (America Central)','America/New_York','64','3.0','muy bajo','bajo'
'69656b7c67a166274c7b4ed18a65bbc4','ATLAS_2SPB','1','38','0.3.40V12BC660','BC660KGLAAR01A05','1nce','Germany','3060','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','232','3.0','muy bajo','bajo'
'4c4188884137b5f22ff7baeda954f7ff','ATLAS_2SPB','2','38','0.3.40V12BC660','BC660KGLAAR01A05','Vodafone','Spain','3175','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','212','2.0','muy bajo','bajo'
'632bc6c79e50ff0a41e3298fc1cfbef8','ATLAS_2S','2','7','0.1.21MBomba','BC66NBR01A11','Vodafone','Spain','1808','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','884','9.0','alto','bajo'
'e4c7385525b61f7b5d4c13cc6567dc5b','ATLAS_2G_SPB','2','38','0.2.40V12','M66FCR01A03BT','Vodafone','Spain','2386','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','113','1.0','muy bajo','bajo'
'b752205bec99f352116c514fc8886a72','ATLAS_2SPB','46','16','0.1.34V11','BC66NBR01A11','Vodafone','Netherlands','508','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Amsterdam','629','5.0','bajo','bajo'
'195cbb19b510da653fad3b33394f5268','ATLAS_2G_SPB','17','34','0.2.36V11Tur','M66FCR01A03BT','VTurkey','Türkiye','2504','Grupo3 (Zona Subtropical +)','Grupo D (Europa / Africa Oeste)','Europe/Istanbul','506','11.0','muy alto','bajo'
'49e3ee2db0ce35dd626a0ad375c5ce94','ATLAS_2SPB','59','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','2897','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','7','6.0','alto','bajo'
'6e3d046908cc8cab46e31802fc90c9b8','ATLAS_2SPB','2','38','0.3.40V12BC660','BC660KGLAAR01A05','Vodafone','Portugal','3452','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','89','2.0','muy bajo','bajo'
'bc652af987af0f3c9d7b21d02cf27ebb','ATLAS_2SP','2','7','0.1.17','BC66NBR01A11','Movistar','Spain','2149','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','892','6.0','alto','bajo'
'54a3ebd815b196cc1874f77ba45e98a9','Atlas 2','3','2','0.0.43','BC66NBR01A10','Vodafone','Netherlands','531','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Amsterdam','331','3.0','muy bajo','bajo'
'f85909c43a86a2222be843b73168f22c','ATLAS_2G_SPB','47','18','0.2.34V11','M66FBR03A07','Movistar','Portugal','2178','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','494','2.0','muy bajo','bajo'
'c4ae8cb313f84326361c5bc0d42825da','ATLAS_2G_SPB','1','38','0.2.40V12','M66FCR01A02BT','Vodafone','Italy','3052','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Rome','283','3.0','muy bajo','bajo'
'576f4b818514bbfedd9399662745842c','ATLAS_2SPB','2','16','0.1.37V11','BC66NBR01A11','Movistar','Spain','3855','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','10','6.0','alto','bajo'
'88690baef980a203dc61b0d8177911b8','ATLAS_2SPB','2','16','0.1.37V11','BC66NBR01A11','Vodafone','Spain','2960','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','372','37.0','muy alto','bajo'
'5679bdae446b4a24f21541da9df72af0','Atlas 2','31','2','0.0.43','BC66NBR01A10','Movistar','Spain','2134','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','1172','18.0','muy alto','bajo'
'6957f244faeb42cc2c639bac5915bcde','ATLAS_2SP','18','1','0.1.17USA','BC66NBR01A11','Vodafone','United States','931','Grupo3 (Zona Subtropical +)','Grupo B (America Central)','America/New_York','821','0.0','muy bajo','bajo'
'427417101fbb4c8e3733a2ab314725c5','ATLAS_2SPB','29','38','0.3.40V12BC660','BC660KGLAAR01A05','Vodafone','Spain','3773','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','0','3.0','muy bajo','bajo'
'0382f78701770ec633bd2664923baa0c','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','2285','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','700','4.0','muy bajo','bajo'
'b3b240870d9a7e06f36b3a4399dfffbc','ATLAS_2SPB','2','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','3564','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','135','4.0','muy bajo','bajo'
'472d330fcd1ec8672e9c139958aafdbc','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','152','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Madrid','644','3.0','muy bajo','bajo'
'042e2de85718b63eba23b251ce9074d3','ATLAS_2SPB','46','16','0.1.34V11','BC66NBR01A11','Vodafone','Netherlands','2273','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Amsterdam','164','3.0','muy bajo','bajo'
'106addddf34d6517481aa375a82d27a0','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','3405','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','234','4.0','muy bajo','bajo'
'98e13d07bccf07f431c4a43658421a7a','ATLAS_2SPB','2','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','3053','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','330','4.0','muy bajo','bajo'
'b07f1239ee0fa76ce60dfbe4d3a456dc','Atlas 2','31','2','0.0.68','BC66NBR01A10','Vodafone','Spain','1857','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','1148','51.0','muy alto','bajo'
'760172dbb28a2e56f6898cbcdfa2e858','ATLAS_2SPB','1','27','0.1.36V11','BC66NBR01A11','1nce','Germany','3060','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','231','8.0','alto','bajo'
'bc9ebe545fddd26da1549497d7cc80e4','ATLAS_2G_SPB','46','30','0.2.36V11','M66FCR01A02BT','Vodafone','The Gambia','2919','Grupo4 (Zona Tropical)','Grupo C (America Este / Atlantico)','Africa/Banjul','0','2.0','muy bajo','bajo'
'ff8cb03ec75408c4f4debe0cb50a41d3','ATLAS_2SPB','46','16','0.1.34V11','BC66NBR01A11','Vodafone','Netherlands','2273','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Amsterdam','163','3.0','muy bajo','bajo'
'e2c58a3b12e1ca01f6da9813147bd86f','ATLAS_2G_SPB','47','18','0.2.34V11','M66FCR01A02BT','Movistar','Portugal','2178','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','484','2.0','muy bajo','bajo'
'05b1cd92abe96b56e36fd056bd2f536d','ATLAS_2SPB','46','16','0.1.34V11','BC66NBR01A11','Vodafone','Netherlands','2225','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Amsterdam','500','6.0','alto','bajo'
'87575e8506336eb057d11036214d84bd','ATLAS_2SPB','2','32','0.1.37V11','BC66NBR01A11','Movistar','Spain','3141','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','202','9.0','alto','bajo'
'43a46663a2e648aba1698a1f08294055','ATLAS_2SPB','2','35','0.1.37V11','BC66NBR01A11','Movistar','Spain','2386','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','205','536.0','muy alto','alto'
'43204bfc7fb6c256c0da8ef585019c60','Atlas 2','2','5','0.0.60','BC66NBR01A10','1nce','Spain','422','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','1208','8.0','alto','bajo'
'38b5e78c3f4ee3c32cb5cc99fc898b36','Atlas 2','2','5','0.0.60','BC66NBR01A10','Movistar','Spain','113','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','274','13.0','muy alto','bajo'
'9d7f99a39393a35adaff7c7d47bebdc5','ATLAS_2S','2','7','0.1.12','BC66NBR01A11','Movistar','Spain','785','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','75','2.0','muy bajo','bajo'
'fee1e26759b5e7e88b5f26652aeec80b','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','1463','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','918','4.0','muy bajo','bajo'
'5290349be4c61ed44f512e086863e4a1','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','2301','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','465','3.0','muy bajo','bajo'
'5071b584e9adf5af3e628e27d88cbad7','ATLAS_2G_SPB','2','18','0.2.34V11','M66FBR03A07','','Portugal','2177','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','455','4.0','muy bajo','bajo'
'4bbaca1bdbcc2acbe629b1cc8535b814','ATLAS_2SPB','1','38','0.3.40V12BC660','BC660KGLAAR01A05','Vodafone','Germany','880','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','227','2.0','muy bajo','bajo'
'a8e2a491870944e393b8968a4e18e594','ATLAS_2G','2','7','0.2.12','M66FBR03A07','Vodafone','Spain','1257','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','1014','4.0','muy bajo','bajo'
'8c06a8ecc31176665e780a9f585320d4','ATLAS_2SP','2','7','0.1.17','BC66NBR01A11','Vodafone','Spain','3222','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','94','2.0','muy bajo','bajo'
'6f79599340e3f4b4fec6c33778d80ce1','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','855','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','685','25.0','muy alto','bajo'
'65d5f6416b49ca66bb5553ef26222a27','ATLAS_2SPB','47','35','0.1.37V11','BC66NBR01A11','Movistar','Portugal','3031','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Lisbon','287','12.0','muy alto','bajo'
'cf44c17f41b93e6fcbe61502c7307b86','ATLAS_2SPB','48','38','0.3.40V12BC660','BC660KGLAAR01A05','Vodafone','Sweden','2224','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Stockholm','106','2.0','muy bajo','bajo'
'b8c5694704788c268b8e285e5bbb9c14','ATLAS_2S','2','7','0.1.15','BC66NBR01A11','Movistar','Spain','1368','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','941','2.0','muy bajo','bajo'
'215176fdcdafefb9dbe02bdea67f2ae7','ATLAS_2SPB','46','16','0.1.34V11','BC66NBR01A11','Vodafone','Netherlands','2318','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Amsterdam','378','5.0','bajo','bajo'
'0b1bb7a450a5389ed4c285e3a79644ba','ATLAS_2S','2','7','0.1.12','BC66NBR01A11','Movistar','Spain','3153','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','775','8.0','alto','bajo'
'872685f9cb88997c070bcce357ec3432','ATLAS_2SPB','2','15','0.1.33V11','BC66NBR01A11','Movistar','Spain','3200','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','285','573.0','muy alto','alto'
'94715def11bb684816f3f476e3f1ff0f','ATLAS_2SPB','2','16','0.1.34V11','BC66NBR01A11','Movistar','Spain','1257','Grupo3 (Zona Subtropical +)','Grupo C (America Este / Atlantico)','Europe/Madrid','246','6.0','alto','bajo'
'4d1ae574657d451f2cd99c561e284428','ATLAS_2S','2','7','0.1.15','BC66NBR01A10','Vodafone','Spain','3152','Grupo2 (Zona Templada +)','Grupo C (America Este / Atlantico)','Europe/Madrid','531','5.0','bajo','bajo'
'1ce66818daef018e3153284929420993','ATLAS_2SPB','46','38','0.3.40V12BC660','BC660KGLAAR01A05','Vodafone','Germany','3182','Grupo2 (Zona Templada +)','Grupo D (Europa / Africa Oeste)','Europe/Berlin','283','3.0','muy bajo','bajo'
